Event_id,Episode,Alert,Date ,Name,Country,Storm_Surge_Height
1001008,49,Alert,Date (UTC),Name,Country,Storm surge height (m)
1001008,49,SS,16 Sep 2023 18:00,Wedgeport,Canada,1.7
1001008,49,SS,16 Sep 2023 18:00,Tusket,Canada,1.7
1001008,49,SS,16 Sep 2023 18:00,Pubnico,Canada,1.7
1001008,49,SS,16 Sep 2023 18:00,Lower Woods Harbour,Canada,1.7
1001008,49,SS,16 Sep 2023 18:00,Clarks Harbour,Canada,1.7
1001008,49,SS,16 Sep 2023 18:00,Barrington Passage,Canada,1.7
1001008,49,SS,16 Sep 2023 18:00,Barrington,Canada,1.7
1001008,49,SS,16 Sep 2023 15:00,Dayton,Canada,1.4
1001008,49,SS,16 Sep 2023 14:00,Clyde River,Canada,1.2
1001008,49,SS,16 Sep 2023 14:00,Port Clyde,Canada,1.2
1001008,49,SS,16 Sep 2023 14:00,Roseway,Canada,1.2
1001008,49,SS,17 Sep 2023 09:00,Miscouche,Canada,1.2
1001008,49,SS,17 Sep 2023 09:00,Cape Tormentine,Canada,1.2
1001008,49,SS,17 Sep 2023 09:00,Bayfield,Canada,1.2
1001008,49,SS,17 Sep 2023 09:00,Summerside,Canada,1.2
1001008,49,SS,17 Sep 2023 09:00,Port Borden,Canada,1.2
1001008,49,SS,17 Sep 2023 09:00,Borden-Carleton,Canada,1.2
1001008,49,SS,17 Sep 2023 09:00,Kensington,Canada,1.2
1001008,49,SS,17 Sep 2023 09:00,Princetown,Canada,1.2
1001008,49,SS,17 Sep 2023 09:00,Victoria,Canada,1.2
1001008,49,SS,17 Sep 2023 09:00,Hampton,Canada,1.2
1001008,49,SS,17 Sep 2023 09:00,Stanley Bridge,Canada,1.2
1001008,49,SS,17 Sep 2023 12:00,Shediac,Canada,1.1
1001008,49,SS,17 Sep 2023 12:00,Bristol,Canada,1.1
1001008,49,SS,17 Sep 2023 12:00,Shemogue,Canada,1.1
1001008,49,SS,17 Sep 2023 12:00,Port Elgin,Canada,1.0
1001008,49,SS,16 Sep 2023 14:00,Shelburne,Canada,1.0
1001008,49,SS,16 Sep 2023 14:00,Lockeport,Canada,1.0
1001008,49,SS,16 Sep 2023 14:00,Sabie River,Canada,1.0
1001008,49,SS,16 Sep 2023 14:00,Sable River,Canada,1.0
1001008,49,SS,17 Sep 2023 09:00,Melrose,Canada,1.0
1001008,49,SS,16 Sep 2023 18:00,Chebogue Point,Canada,1.0
1001008,49,SS,16 Sep 2023 18:00,Yarmouth,Canada,1.0
1001008,49,SS,17 Sep 2023 08:00,Richibucto,Canada,0.9
1001008,49,SS,17 Sep 2023 12:00,Portage,Canada,0.9
1001008,49,SS,17 Sep 2023 12:00,Harmony,Canada,0.9
1001008,49,SS,17 Sep 2023 12:00,Mount Pleasant,Canada,0.9
1001008,49,SS,17 Sep 2023 11:00,Alberton,Canada,0.9
1001008,49,SS,17 Sep 2023 11:00,Tignish,Canada,0.9
1001008,49,SS,17 Sep 2023 02:00,Saint Martins,Canada,0.9
1001008,49,SS,16 Sep 2023 18:00,La Have,Canada,0.8
1001008,49,SS,16 Sep 2023 18:00,Lunenburg,Canada,0.8
1001008,49,SS,16 Sep 2023 18:00,Indian Harbour,Canada,0.8
1001008,49,SS,16 Sep 2023 18:00,Hubbards,Canada,0.8
1001008,49,SS,16 Sep 2023 18:00,Ingramport,Canada,0.8
1001008,49,SS,17 Sep 2023 02:00,Marshall Cove,Canada,0.8
1001008,49,SS,17 Sep 2023 03:00,Margaretsville,Canada,0.8
1001008,49,SS,17 Sep 2023 03:00,Apple River,Canada,0.8
1001008,49,SS,17 Sep 2023 03:00,Advocate Harbour,Canada,0.8
1001008,49,SS,17 Sep 2023 03:00,Spencer Island,Canada,0.8
1001008,49,SS,17 Sep 2023 03:00,Alma,Canada,0.8
