Event_id,Episode,Name,LOCODE,Country
1000667,18,Lo Hsing Ta Mao Ti,,China
1000667,18,Fuzhou,CNFOC,China
1000667,18,Xiuyu,,China
1000667,18,Matsu Island,,Taiwan
1000667,18,San Tu Ao,,China
1000667,18,Ning Te,,China
1000667,18,Tai Chung,,Taiwan
1000667,18,Chin Men,,China
1000667,18,Xiamen,CNXMN,China
1000667,18,Taichung,TWTXG,Taiwan
1000667,18,Zhangzhou,CNZZU,China
1000667,18,Tan Shui,,Taiwan
1000667,18,Zhangzhou,,China
1000667,18,Peng Hu,,Taiwan
1000667,18,Keelung (Chilung),TWKEL,Taiwan
1000667,18,Ku Ao Tou,,China
1000667,18,Jui An,,China
1000667,18,Suao,TWSUO,Taiwan
1000667,18,Hualien,TWHUN,Taiwan
1000667,18,Wenzhou,CNWNZ,China
1000667,18,An Ping Chiang,,Taiwan
1000667,18,Tai Nan,,Taiwan
1000667,18,Huaang Kang,,China
1000667,18,Kan Men Chiang,,China
1000667,18,Kaohsiung,TWKHH,Taiwan
1000667,18,Tai Tung,,Taiwan
1000667,18,Shantou,CNSWA,China
1000667,18,Lan Yu Island,,Taiwan
1000667,18,Irionote Island,,Japan
1000667,18,Ishigaki Island,,Japan
1000667,18,Ishigaki,,Japan
1000667,18,Jiujiang,CNJIU,China
1000667,18,Hirara,,Japan
1000667,18,Kuang Chi,,China
1000667,18,Myako Island,,Japan
1000667,18,Basco,,Philippines
1000667,18,Calayan,,Philippines
1000667,18,Kume Island,,Japan
1000667,18,Claveria,,Philippines
1000667,18,Abulog,,Philippines
1000667,18,Port San Vicente,,Philippines
1000667,18,Aparri,PHAPR,Philippines
1000673,4,Alibag,,India
1000673,4,Murud,,India
1000673,4,Srivardhan,,India
1000673,4,Bankot,,India
1000702,24,Dandong,CNDDG,China
1000702,24,Sinuiju,,North Korea
1000702,24,Hamhung,,North Korea
1000702,24,Chongiu,,North Korea
1000702,24,Bumpyo (Rempo),KPREM,North Korea
1000702,24,Hungnam,,North Korea
1000702,24,Heungnam,,North Korea
1000702,24,Sinpo,,North Korea
1000702,24,Kushan,,China
1000702,24,Pyongyang,,North Korea
1000702,24,Posan,,North Korea
1000702,24,Wonsan,KPWON,North Korea
1000702,24,Nampo,KPNAM,North Korea
1000702,24,Kyomipo,,North Korea
1000702,24,Namp O,,North Korea
1000702,24,Haeju,KPHAE,North Korea
1000702,24,Inchon,KRINC,South Korea
1000702,24,Daesan,,South Korea
1000702,24,Pyongtaek,KRPTK,South Korea
1000702,24,Wei Hai,CNWEI,China
1000702,24,Shin Tao,,China
1000702,24,Changhang,KRCHG,South Korea
1000702,24,Kunsan,KRKUV,South Korea
1000702,24,Mokpo,KRMOK,South Korea
1000702,24,Kumnyong,,South Korea
1000702,24,Cheju,KRCHA,South Korea
1000702,24,Sonsan Po,,South Korea
1000702,24,Oku,,Japan
1000702,24,Kume Island,,Japan
1000702,24,Kin Wan,JPKIN,Japan
1000702,24,Heianza,JPHEI,Japan
1000702,24,Nishihara,JPNHR,Japan
1000702,24,Nakagusuku Wan,,Japan
1000702,24,Naha,JPNAH,Japan
1000702,24,Hirara,,Japan
1000702,24,Keelung (Chilung),TWKEL,Taiwan
1000702,24,Myako Island,,Japan
1000702,24,Ishigaki Island,,Japan
1000702,24,Suao,TWSUO,Taiwan
1000702,24,Ishigaki,,Japan
1000702,24,Irionote Island,,Japan
1000702,24,Hualien,TWHUN,Taiwan
1000705,24,Ulsan,KRUSN,South Korea
1000705,24,Pusan,KRPUS,South Korea
1000705,24,Chinhai,,South Korea
1000705,24,Masan,KRMAS,South Korea
1000705,24,Pohang,KRKPO,South Korea
1000705,24,Okpo,KROKP,South Korea
1000705,24,Sasuna,,Japan
1000705,24,Hidakatsu,,Japan
1000705,24,Samcheon Po,,South Korea
1000705,24,Shishimi,,Japan
1000705,24,Yosu,KRYOS,South Korea
1000705,24,Izuhara,JPIZH,Japan
