Event_id,Episode,Name,IATA_Code,Elevation_in_m,Usage,Runway_type,IFR,Runway_Length_in_ft,Distance
1449021,1597676,Junmachi,GAJ,108,Civ.,Paved,Yes,6500,97 km
1449066,1597734,Hualien,HUN,16,Civ.,Paved,Yes,9000,40 km
1449066,1597734,Sun Moon Lake,SMT,unknown,,,,0,60 km
1449066,1597734,Lishan,LHN,unknown,,,,0,68 km
1449072,1597745,Olga Bay,KOY,unknown,,,,0,41 km
1449072,1597745,Alitak,ALZ,unknown,,,,0,48 km
1449072,1597745,Moser Bay,KMY,unknown,,,,0,48 km
1449072,1597745,Akhiok,AKK,13,,,,0,49 km
1449072,1597745,Karluk,KYK,42,,,,0,57 km
1449072,1597745,Karluk Lake,KKL,112,,,,0,60 km
1449072,1597745,Larsen Bay,,23,,,,0,73 km
1449072,1597745,Amook Bay,,unknown,,,,0,77 km
1449072,1597745,Bear Creek,BCC,unknown,,,,0,80 km
1449072,1597745,Sitkinak,SKJ,unknown,,,,0,81 km
1449072,1597745,Zachar Bay,KZB,unknown,,,,0,85 km
1449072,1597745,Old Harbor,,17,,,,0,100 km
1449098,1597823,Santa Cruz,SCZ,unknown,,,,0,93 km
1449106,1598135,Cabo Velas,,10,,,,0,38 km
1449106,1598135,Flamingo,FMG,unknown,,,,0,43 km
1449106,1598135,Santa Cruz Guanacaste,SZC,unknown,,,,0,66 km
1449106,1598135,Liberia International,LIR,70,Civ.,Paved,Yes,9000,70 km
1449106,1598135,La Flor,,55,Civ.,Paved,No,3100,72 km
1449106,1598135,Nosara,NOB,10,Civ.,Paved,No,3200,80 km
1449106,1598135,Nicoya Guanacaste,NCT,unknown,,,,0,83 km
1449106,1598135,Playa Samara,PLD,unknown,,,,0,87 km
1449106,1598135,Nicoya,,120,,,,0,88 km
1449106,1598135,Tamarindo,TNO,unknown,,,,0,92 km
1449115,1598137,Flamingo,FMG,unknown,,,,0,28 km
1449115,1598137,Cabo Velas,,10,,,,0,31 km
1449115,1598137,Liberia International,LIR,70,Civ.,Paved,Yes,9000,44 km
1449115,1598137,La Flor,,55,Civ.,Paved,No,3100,45 km
1449115,1598137,Santa Cruz Guanacaste,SZC,unknown,,,,0,54 km
1449115,1598137,Tamarindo,TNO,unknown,,,,0,63 km
1449115,1598137,Nicoya Guanacaste,NCT,unknown,,,,0,70 km
1449115,1598137,Playa Samara,PLD,unknown,,,,0,71 km
1449115,1598137,Nicoya,,120,,,,0,76 km
1449115,1598137,Nosara,NOB,10,Civ.,Paved,No,3200,78 km
1449115,1598137,Las Canas,LCS,unknown,,,,0,93 km
1449115,1598137,Carrillo,RIK,2,Civ.,Unpaved,No,3900,97 km
1449117,1598138,Chiba-ken,,19,,,,0,11 km
1449117,1598138,Shimofusa,,30,Civ.,Paved,Yes,7300,20 km
1449117,1598138,,,26,,,,0,27 km
1449117,1598138,Ryugasaki,,2,,,,0,31 km
1449117,1598138,Ryugasaki South,,2,,,,0,31 km
1449117,1598138,Honda,,12,,,,0,35 km
1449117,1598138,Shimoshizu,,30,,,,0,41 km
1449117,1598138,Tokyo Haneda International,HND,7,Civ.,Paved,Yes,9800,47 km
1449117,1598138,Iruma,,91,Mil.,Paved,Yes,6500,47 km
1449117,1598138,Chofu,,41,Civ.,Paved,No,3200,47 km
1449117,1598138,Tokyo Narita International,NRT,42,Civ.,Paved,Yes,13100,48 km
1449117,1598138,Onishi,,20,,,,0,49 km
1449117,1598138,Hyakuri,,32,Mil.,Paved,Yes,8800,52 km
1449117,1598138,Tachikawa,,95,,,,0,54 km
1449117,1598138,Yokota AFB,OKO,139,Mil.,Paved,Yes,11000,56 km
1449117,1598138,Suzumenomiya,,82,,,,0,57 km
1449117,1598138,Shimo Kolzumi,,30,,,,0,57 km
1449117,1598138,Yokohama,YOK,unknown,,,,0,60 km
1449117,1598138,Utsunomiya,QUT,102,Civ.,Paved,Yes,5500,62 km
1449117,1598138,Kisarazu,,3,Mil.,Paved,Yes,6000,62 km
1449117,1598138,Katsner AAF,,109,Civ.,Paved,No,1900,68 km
1449117,1598138,Atsugi,NJA,62,Mil.,Paved,Yes,7900,70 km
1449120,1597812,Cabo Velas,,10,,,,0,29 km
1449120,1597812,Flamingo,FMG,unknown,,,,0,34 km
1449120,1597812,Santa Cruz Guanacaste,SZC,unknown,,,,0,57 km
1449120,1597812,Liberia International,LIR,70,Civ.,Paved,Yes,9000,61 km
1449120,1597812,La Flor,,55,Civ.,Paved,No,3100,64 km
1449120,1597812,Nosara,NOB,10,Civ.,Paved,No,3200,73 km
1449120,1597812,Nicoya Guanacaste,NCT,unknown,,,,0,74 km
1449120,1597812,Playa Samara,PLD,unknown,,,,0,78 km
