Event_id,Episode,Region_Province,Country
1001008,49,Quebec,Canada
1001008,49,Nova Scotia,Canada
1001008,49,Prince Edward Island,Canada
1001008,49,New Brunswick,Canada
1001008,49,Newfoundland,Canada
1001008,49,St. Pierre & Miquelon,Saint Pierre and Miquelon
1001008,49,Maine,United States
1001008,49,New Hampshire,United States
1001008,49,Vermont,United States
1001008,49,Massachusetts,United States
1001008,49,New York,United States
1001008,49,Rhode Island,United States
1001008,49,Connecticut,United States
1001008,49,Bermuda,Bermuda
1001008,49,Quebec,Canada
1001008,49,Nova Scotia,Canada
1001008,49,Prince Edward Island,Canada
1001008,49,New Brunswick,Canada
1001008,49,Newfoundland,Canada
1001008,49,St. Pierre & Miquelon,Saint Pierre and Miquelon
1001008,49,Maine,United States
1001008,49,New Hampshire,United States
1001008,49,Vermont,United States
1001008,49,Massachusetts,United States
1001008,49,New York,United States
1001008,49,Rhode Island,United States
1001008,49,Connecticut,United States
1001008,49,Bermuda,Bermuda
1001008,49,Quebec,Canada
1001008,49,Nova Scotia,Canada
1001008,49,Prince Edward Island,Canada
1001008,49,New Brunswick,Canada
1001008,49,Newfoundland,Canada
1001008,49,St. Pierre & Miquelon,Saint Pierre and Miquelon
1001008,49,Maine,United States
1001008,49,New Hampshire,United States
1001008,49,Vermont,United States
1001008,49,Massachusetts,United States
1001008,49,New York,United States
1001008,49,Rhode Island,United States
1001008,49,Connecticut,United States
1001008,49,Bermuda,Bermuda
1001013,12,Virginia,United States
1001013,12,Maryland,United States
1001013,12,District of Columbia,United States
1001013,12,North Carolina,United States
1001013,12,Delaware,United States
1001013,12,West Virginia,United States
1001013,12,Pennsylvania,United States
1001013,12,New Jersey,United States
1001013,12,Ohio,United States
1001013,12,South Carolina,United States
1001013,12,Tennessee,United States
1001013,12,New York,United States
1001013,12,Kentucky,United States
1001013,12,Georgia,United States
1001013,12,Bahamas,Bahamas
1001014,53,Bermuda,Bermuda
1001014,53,Massachusetts,United States
1001014,53,New York,United States
1001014,53,Rhode Island,United States
1001014,53,Connecticut,United States
1001014,53,British Virgin Is.,Virgin Islands British
1001014,53,Humacao,Puerto Rico
1001014,53,Bayamon,Puerto Rico
1001014,53,San Juan,Puerto Rico
1001014,53,Virgin Is.,Virgin Islands U.S.
1001014,53,Arecibo,Puerto Rico
1001014,53,Aguadilla,Puerto Rico
1001014,53,Guayama,Puerto Rico
1001014,53,Anguilla,Anguilla
1001014,53,Ponce,Puerto Rico
1001014,53,Mayag?ez,Puerto Rico
1001014,53,Nova Scotia,Canada
1001014,53,New Hampshire,United States
1001014,53,Antigua & Barbuda,Antigua and Barbuda
1001014,53,Maine,United States
1001014,53,St. Kitts & Nevis,Saint Kitts and Nevis
1001014,53,Vermont,United States
1001014,53,Montserrat,Montserrat
1001014,53,New Brunswick,Canada
1001014,53,Guadeloupe,Guadeloupe
1001014,53,Dominica,Dominica
1001014,53,Quebec,Canada
1001014,53,Prince Edward Island,Canada
1001014,53,Martinique,Martinique
1001018,43,Guangdong,China
1001018,43,Macau,China
1001018,43,Hong Kong,China
1001018,43,Jiangxi,China
1001018,43,Fujian,China
1001018,43,Taiwan,China
1001018,43,Ilocos,Philippines
1001018,43,Cagayan Valley,Philippines
1001018,43,Okinawa,Japan
1001019,33,Zacatecas,Mexico
1001019,33,Aguascalientes,Mexico
1001019,33,San Luis Potosi,Mexico
1001019,33,Jalisco,Mexico
1001019,33,Durango,Mexico
1001019,33,Nayarit,Mexico
1001019,33,Michoacan,Mexico
1001019,33,Colima,Mexico
1001021,10,Michoacan,Mexico
1001021,10,Guerrero,Mexico
1001023,14,Hainan,China
1001023,14,Guangdong,China
1001023,14,Guangxi,China
1001024,24,Sinaloa,Mexico
1001024,24,Durango,Mexico
1001024,24,Chihuahua,Mexico
1001024,24,Sonora,Mexico
1001024,24,Baja California Sur,Mexico
1001025,40,Bermuda,Bermuda
1001025,40,Antigua & Barbuda,Antigua and Barbuda
1001025,40,Anguilla,Anguilla
1001025,40,British Virgin Is.,Virgin Islands British
1001025,40,St. Kitts & Nevis,Saint Kitts and Nevis
1001025,40,Virgin Is.,Virgin Islands U.S.
1001025,40,Guadeloupe,Guadeloupe
1001025,40,Montserrat,Montserrat
