Event_id,Episode,Name,LOCODE,Country,Distance
1448952,1597577,Gilau,PGGIL,Papua New Guinea,39 km
1448952,1597577,Arawe Harbour,,Papua New Guinea,68 km
1448952,1597577,Talasea,PGTLW,Papua New Guinea,83 km
1448952,1597577,Kimbe,PGKIM,Papua New Guinea,88 km
1448989,1597791,Islas Santanilla,,Honduras,72 km
1449021,1597676,Soma,JPSMA,Japan,22 km
1449021,1597676,Shiogama,JPSGM,Japan,76 km
1449021,1597676,Onahama,JPONA,Japan,78 km
1449021,1597676,Ishinomaki,JPISM,Japan,93 km
1449035,1597694,Singkil,,Indonesia,28 km
1449035,1597694,Lae Tapus,,Indonesia,33 km
1449035,1597694,Barus,,Indonesia,45 km
1449035,1597694,Sibolga,IDSLG,Indonesia,95 km
1449066,1597734,Hualien,TWHUN,Taiwan,36 km
1449072,1597745,Karluk,,Wake Island,26 km
1449072,1597745,Lazy Bay,,Wake Island,47 km
1449072,1597745,Trap Point,,Wake Island,49 km
1449072,1597745,Karluk,,Wake Island,57 km
1449072,1597745,Larsen Bay,,Wake Island,72 km
1449072,1597745,Uyak,,Wake Island,79 km
1449072,1597745,Kanatak,,Wake Island,84 km
1449072,1597745,Three Saints Bay,,Wake Island,86 km
1449098,1597823,Peu,,Soloman Islands,88 km
1449106,1598135,San Juan Del Sur,NISJS,Nicaragua,90 km
1449115,1598137,San Juan Del Sur,NISJS,Nicaragua,71 km
1449117,1598138,Tokyo,JPTYO,Japan,31 km
1449117,1598138,Katunan Ko,,Japan,33 km
1449117,1598138,Ogasawara,JPOGA,Japan,33 km
1449117,1598138,Anegasaki,JPANE,Japan,43 km
1449117,1598138,Chiba,JPCHB,Japan,44 km
1449117,1598138,Kawasaki,JPKWS,Japan,50 km
1449117,1598138,Goi,JPGOI,Japan,51 km
1449117,1598138,Yokohama,JPYOK,Japan,61 km
1449117,1598138,Kisarazu,JPKZU,Japan,64 km
1449117,1598138,Neghisi,JPNGI,Japan,67 km
1449117,1598138,Kashima,JPKSM,Japan,72 km
1449117,1598138,Yokosuka,JPYOS,Japan,78 km
1449117,1598138,Kurihama,JPKRH,Japan,86 km
1449117,1598138,Choshi,JPCHO,Japan,87 km
1449117,1598138,Hitachi,JPHTC,Japan,88 km
1449117,1598138,Katsuura Ko,,Japan,98 km
1449120,1597812,San Juan Del Sur,NISJS,Nicaragua,89 km
1449123,1597839,Muko,,Japan,96 km
1449129,1597822,San Juan Del Sur,NISJS,Nicaragua,85 km
1449152,1597856,Moa Island,,Indonesia,78 km
1449152,1597856,Sermata Island,,Indonesia,79 km
1449230,1597953,Hualien,TWHUN,Taiwan,3 km
1449230,1597953,Suao,TWSUO,Taiwan,75 km
1449263,1597993,Kiska Island,,Wake Island,41 km
1449263,1597993,Amchitka Island,,Wake Island,75 km
1449263,1597993,Constantine Harbour,,Wake Island,99 km
1449314,1598055,Iquique,CLIQQ,Chile,86 km
1449336,1598085,Goi,JPGOI,Japan,7 km
1449336,1598085,Chiba,JPCHB,Japan,12 km
1449336,1598085,Anegasaki,JPANE,Japan,13 km
1449336,1598085,Katunan Ko,,Japan,26 km
1449336,1598085,Kisarazu,JPKZU,Japan,26 km
1449336,1598085,Kawasaki,JPKWS,Japan,37 km
1449336,1598085,Ogasawara,JPOGA,Japan,39 km
1449336,1598085,Katsuura Ko,,Japan,42 km
1449336,1598085,Tokyo,JPTYO,Japan,44 km
1449336,1598085,Yokohama,JPYOK,Japan,49 km
1449336,1598085,Neghisi,JPNGI,Japan,50 km
1449336,1598085,Yokosuka,JPYOS,Japan,53 km
1449336,1598085,Kurihama,JPKRH,Japan,54 km
1449336,1598085,Tateyama,JPTTY,Japan,64 km
1449336,1598085,Kashima,JPKSM,Japan,65 km
1449336,1598085,Choshi,JPCHO,Japan,65 km
1449346,1598095,Playa Grande,,Guatemala,32 km
1449346,1598095,San Jose,GTSJO,Guatemala,49 km
1449346,1598095,San Jose,GTSJO,Guatemala,49 km
1449346,1598095,Puerto Quetzail,GTPRQ,Guatemala,53 km
1449346,1598095,Champerico,GTCHR,Guatemala,76 km
1449347,1598114,Hualien,TWHUN,Taiwan,28 km
1449347,1598114,Suao,TWSUO,Taiwan,51 km
1449348,1598099,Tandag,,Philippines,13 km
1449348,1598099,Aras Asan,,Philippines,13 km
1449348,1598099,Lamon Anchorage,,Philippines,58 km
1449348,1598099,Hinatuan,,Philippines,68 km
1449348,1598099,Butuan,,Philippines,76 km
1449348,1598099,Bislig / Mindanao,PHBPH,Philippines,88 km
1449348,1598099,Dapa,,Philippines,88 km
1449348,1598099,Nasipit,PHNAS,Philippines,99 km
1449348,1598099,Nasipit,PHNAS,Philippines,99 km
1449354,1598106,La Libertad,SVLLD,El Salvador,40 km
1449354,1598106,Puerto El Triunfo,,El Salvador,75 km
1449354,1598106,Acajutla,SVAQJ,El Salvador,87 km
1449369,1598127,Sanchez,DOSNZ,Dominican Republic,52 km
