Event_id,Episode,Radius,Population
1449406,1598183,5 km,no people
1449406,1598183,2 km,no people
1449447,1598231,Radius,Population
1449447,1598231,100 km,no people
1449447,1598231,75 km,no people
1449447,1598231,50 km,no people
1449447,1598231,20 km,no people
1449447,1598231,10 km,no people
1449447,1598231,5 km,no people
1449447,1598231,2 km,no people
1449495,1598286,Radius,Population
1449495,1598286,100 km,no people
1449495,1598286,75 km,no people
1449495,1598286,50 km,no people
1449495,1598286,20 km,no people
1449495,1598286,10 km,no people
1449495,1598286,5 km,no people
1449495,1598286,2 km,no people
1449497,1598292,Radius,Population
1449497,1598292,100 km,82000 people
1449497,1598292,75 km,no people
1449497,1598292,50 km,no people
1449497,1598292,20 km,no people
1449497,1598292,10 km,no people
1449497,1598292,5 km,no people
1449497,1598292,2 km,no people
1449504,1598309,Radius,Population
1449504,1598309,100 km,56000 people
1449504,1598309,75 km,55000 people
1449504,1598309,50 km,<1000 people
1449504,1598309,20 km,no people
1449504,1598309,10 km,no people
1449504,1598309,5 km,no people
1449504,1598309,2 km,no people
1449513,1598306,Radius,Population
1449513,1598306,100 km,no people
1449513,1598306,75 km,no people
1449513,1598306,50 km,no people
1449513,1598306,20 km,no people
1449513,1598306,10 km,no people
1449513,1598306,5 km,no people
1449513,1598306,2 km,no people
1449516,1598312,Radius,Population
1449516,1598312,100 km,no people
1449516,1598312,75 km,no people
1449516,1598312,50 km,no people
1449516,1598312,20 km,no people
1449516,1598312,10 km,no people
1449516,1598312,5 km,no people
1449516,1598312,2 km,no people
1449518,1598322,Radius,Population
1449518,1598322,100 km,5900 people
1449518,1598322,75 km,1700 people
1449518,1598322,50 km,<1000 people
1449518,1598322,20 km,<1000 people
1449518,1598322,10 km,no people
1449518,1598322,5 km,no people
1449518,1598322,2 km,no people
1449519,1598318,Radius,Population
1449519,1598318,100 km,31000 people
1449519,1598318,75 km,12000 people
1449519,1598318,50 km,no people
1449519,1598318,20 km,no people
1449519,1598318,10 km,no people
1449519,1598318,5 km,no people
1449519,1598318,2 km,no people
1449529,1598328,Radius,Population
1449529,1598328,100 km,no people
1449529,1598328,75 km,no people
1449529,1598328,50 km,no people
1449529,1598328,20 km,no people
1449529,1598328,10 km,no people
1449529,1598328,5 km,no people
1449529,1598328,2 km,no people
1449536,1598338,Radius,Population
1449536,1598338,100 km,no people
1449536,1598338,75 km,no people
1449536,1598338,50 km,no people
1449536,1598338,20 km,no people
1449536,1598338,10 km,no people
1449536,1598338,5 km,no people
1449536,1598338,2 km,no people
1449552,1598707,Radius,Population
1449552,1598707,100 km,150000 people
1449552,1598707,75 km,80000 people
1449552,1598707,50 km,25000 people
1449552,1598707,20 km,<1000 people
1449552,1598707,10 km,<1000 people
1449552,1598707,5 km,no people
1449552,1598707,2 km,no people
1449554,1598713,Radius,Population
1449554,1598713,100 km,no people
1449554,1598713,75 km,no people
1449554,1598713,50 km,no people
1449554,1598713,20 km,no people
1449554,1598713,10 km,no people
1449554,1598713,5 km,no people
1449554,1598713,2 km,no people
1449567,1598725,Radius,Population
1449567,1598725,100 km,no people
1449567,1598725,75 km,no people
1449567,1598725,50 km,no people
1449567,1598725,20 km,no people
1449567,1598725,10 km,no people
1449567,1598725,5 km,no people
1449567,1598725,2 km,no people
1449569,1598730,Radius,Population
1449569,1598730,100 km,no people
1449569,1598730,75 km,no people
1449569,1598730,50 km,no people
1449569,1598730,20 km,no people
1449569,1598730,10 km,no people
1449569,1598730,5 km,no people
1449569,1598730,2 km,no people
