Event_id,Episode,Name,IATA_Code,Elevation_in_m,Usage,Runway_type,IFR,Runway_Length_in_ft,Distance
1449369,1598127,San Isidro AB,,34,Mil.,Paved,No,7000,93 km
1449395,1598167,Lereh,LHI,unknown,,,,0,79 km
1449395,1598167,Apalapsili,AAS,unknown,,,,0,86 km
1449395,1598167,Bokondini,BUI,unknown,,,,0,87 km
1449406,1598183,Cabo Velas,,10,,,,0,42 km
1449406,1598183,Flamingo,FMG,unknown,,,,0,49 km
1449406,1598183,Santa Cruz Guanacaste,SZC,unknown,,,,0,70 km
1449406,1598183,Liberia International,LIR,70,Civ.,Paved,Yes,9000,77 km
1449406,1598183,La Flor,,55,Civ.,Paved,No,3100,80 km
1449406,1598183,Nosara,NOB,10,Civ.,Paved,No,3200,82 km
1449406,1598183,Nicoya Guanacaste,NCT,unknown,,,,0,88 km
1449406,1598183,Playa Samara,PLD,unknown,,,,0,92 km
1449406,1598183,Nicoya,,120,,,,0,92 km
1449406,1598183,Tamarindo,TNO,unknown,,,,0,99 km
1449504,1598309,Hirara,MMY,45,Civ.,Paved,Yes,6500,60 km
1449504,1598309,Shimojishima,SHI,16,Civ.,Paved,Yes,9800,73 km
1449504,1598309,,,9,,,,0,98 km
1449519,1598318,Esa'Ala,ESA,-1,,,,0,87 km
1449552,1598707,Tekin,TKW,unknown,,,,0,39 km
1449552,1598707,Bimin,BIZ,unknown,,,,0,45 km
1449552,1598707,Eliptamin,EPT,unknown,,,,0,56 km
1449552,1598707,Miyanmin,MPX,unknown,,,,0,59 km
1449552,1598707,Selbang,SBC,unknown,,,,0,64 km
1449552,1598707,Telefomin,TFM,1496,,,,0,66 km
1449552,1598707,April River,APR,unknown,,,,0,73 km
1449552,1598707,Bolovip,BVP,unknown,,,,0,73 km
1449552,1598707,Tilfalmin,TFA,unknown,,,,0,81 km
1449552,1598707,Gulgubip,GLP,unknown,,,,0,82 km
1449552,1598707,Olsobip,OLQ,unknown,,,,0,90 km
1449552,1598707,Oksapmin,OKP,unknown,,,,0,90 km
1449552,1598707,Ama,AMF,unknown,,,,0,97 km
1449580,1598395,Namatanai,ATN,42,,,,0,45 km
1449580,1598395,Rabaul,RAB,4,,,,0,59 km
1449580,1598395,Rakanda,RAA,unknown,,,,0,69 km
1449580,1598395,Tokua,,10,,,,0,79 km
1449580,1598395,Stockholm,SMP,unknown,,,,0,95 km
1449580,1598395,Londolovit,LNV,51,,,,0,98 km
1449585,1598401,Borankoy,,683,,,,0,44 km
1449585,1598401,Malatya,,919,,,,0,50 km
1449585,1598401,Elazig,EZS,903,Civ.,Paved,Yes,5600,52 km
1449585,1598401,Malatya,MLX,862,Civ.,Paved,Yes,10900,66 km
1449585,1598401,Adiyaman,ADF,673,Civ.,Paved,Yes,8300,71 km
1449591,1598413,Chiba-ken,,19,,,,0,14 km
1449591,1598413,Onishi,,20,,,,0,31 km
1449591,1598413,Honda,,12,,,,0,31 km
1449591,1598413,,,26,,,,0,37 km
1449591,1598413,Suzumenomiya,,82,,,,0,38 km
