Event_id,Episode,ID,Alert_Color,GDACS_Score,Population_Affected,Burned_Area,Last_Update,GWIS
1022604,17,1,WF,0.5,0,10751,07 Oct 2024 06:00,GWIS
1022604,17,2,WF,0.5,0,12503,07 Oct 2024 14:00,GWIS
1022604,17,3,WF,0.5,0,12643,07 Oct 2024 18:00,GWIS
1022604,17,4,WF,0.5,0,18051,08 Oct 2024 06:00,GWIS
1022604,17,5,WF,0.5,0,18559,08 Oct 2024 18:00,GWIS
1022604,17,6,WF,0.5,0,19140,09 Oct 2024 02:00,GWIS
1022604,17,7,WF,0.5,0,19382,09 Oct 2024 06:00,GWIS
1022604,17,8,WF,0.5,0,20092,09 Oct 2024 10:00,GWIS
1022604,17,9,WF,0.5,0,20112,09 Oct 2024 14:00,GWIS
1022604,17,10,WF,0.5,0,20137,09 Oct 2024 18:00,GWIS
1022604,17,11,WF,0.5,0,20424,10 Oct 2024 06:00,GWIS
1022604,17,12,WF,0.5,0,21015,10 Oct 2024 10:00,GWIS
1022604,17,13,WF,0.5,0,21017,10 Oct 2024 18:00,GWIS
1022604,17,14,WF,0.5,0,21200,10 Oct 2024 22:00,GWIS
1022604,17,15,WF,0.5,0,21349,11 Oct 2024 06:00,GWIS
1022604,17,16,WF,0.5,0,21536,11 Oct 2024 10:00,GWIS
1022604,17,17,WF,0.5,0,21706,11 Oct 2024 18:00,GWIS
1022607,14,1,WF,0.5,0,7972,06 Oct 2024 22:00,GWIS
1022607,14,2,WF,0.5,0,8339,07 Oct 2024 06:00,GWIS
1022607,14,3,WF,0.5,0,11786,07 Oct 2024 14:00,GWIS
1022607,14,4,WF,0.5,0,11875,07 Oct 2024 18:00,GWIS
1022607,14,5,WF,0.5,0,12080,08 Oct 2024 06:00,GWIS
1022607,14,6,WF,0.5,0,13579,08 Oct 2024 18:00,GWIS
1022607,14,7,WF,0.5,0,14402,09 Oct 2024 02:00,GWIS
1022607,14,8,WF,0.5,0,14409,09 Oct 2024 06:00,GWIS
1022607,14,9,WF,0.5,1,29148,09 Oct 2024 10:00,GWIS
1022607,14,10,WF,0.5,1,32778,09 Oct 2024 14:00,GWIS
1022607,14,11,WF,0.5,1,33436,09 Oct 2024 18:00,GWIS
1022607,14,12,WF,0.5,30,109093,10 Oct 2024 06:00,GWIS
1022607,14,13,WF,0.5,30,127772,10 Oct 2024 10:00,GWIS
1022607,14,14,WF,0.5,30,128023,10 Oct 2024 18:00,GWIS
1022612,10,1,WF,0.5,0,10310,07 Oct 2024 14:00,GWIS
1022612,10,2,WF,0.5,0,10588,07 Oct 2024 18:00,GWIS
1022612,10,3,WF,0.5,0,11225,08 Oct 2024 06:00,GWIS
1022612,10,4,WF,0.5,0,13087,08 Oct 2024 18:00,GWIS
1022612,10,5,WF,0.5,0,13195,09 Oct 2024 06:00,GWIS
1022612,10,6,WF,0.5,0,13460,09 Oct 2024 10:00,GWIS
1022612,10,7,WF,0.5,0,13480,10 Oct 2024 06:00,GWIS
1022612,10,8,WF,0.5,0,13514,10 Oct 2024 18:00,GWIS
1022612,10,9,WF,0.5,0,13564,11 Oct 2024 06:00,GWIS
1022612,10,10,WF,0.5,0,13605,11 Oct 2024 18:00,GWIS
1022617,12,1,WF,0.5,0,5139,07 Oct 2024 18:00,GWIS
1022617,12,2,WF,0.5,0,5362,08 Oct 2024 06:00,GWIS
1022617,12,3,WF,0.5,0,6291,09 Oct 2024 02:00,GWIS
1022617,12,4,WF,0.5,0,6329,09 Oct 2024 06:00,GWIS
1022617,12,5,WF,0.5,0,7446,09 Oct 2024 10:00,GWIS
1022617,12,6,WF,0.5,0,7451,09 Oct 2024 18:00,GWIS
1022617,12,7,WF,0.5,0,9688,10 Oct 2024 06:00,GWIS
1022617,12,8,WF,0.5,0,10354,10 Oct 2024 10:00,GWIS
1022617,12,9,WF,0.5,0,10375,10 Oct 2024 18:00,GWIS
1022617,12,10,WF,0.5,0,10413,11 Oct 2024 06:00,GWIS
1022617,12,11,WF,0.5,0,10432,11 Oct 2024 10:00,GWIS
1022617,12,12,WF,0.5,0,10519,11 Oct 2024 18:00,GWIS
1022619,15,1,WF,0.5,0,7111,08 Oct 2024 06:00,GWIS
1022619,15,2,WF,0.5,0,9429,08 Oct 2024 10:00,GWIS
1022619,15,3,WF,0.5,0,9555,08 Oct 2024 18:00,GWIS
1022619,15,4,WF,0.5,0,14657,09 Oct 2024 02:00,GWIS
1022619,15,5,WF,0.5,0,15187,09 Oct 2024 06:00,GWIS
1022619,15,6,WF,0.5,0,17831,09 Oct 2024 10:00,GWIS
1022619,15,7,WF,0.5,0,18456,09 Oct 2024 14:00,GWIS
1022619,15,8,WF,0.5,0,18759,09 Oct 2024 18:00,GWIS
1022619,15,9,WF,0.5,0,19084,10 Oct 2024 06:00,GWIS
1022619,15,10,WF,0.5,0,19604,10 Oct 2024 18:00,GWIS
1022619,15,11,WF,0.5,0,19973,10 Oct 2024 22:00,GWIS
1022619,15,12,WF,0.5,0,20543,11 Oct 2024 06:00,GWIS
1022619,15,13,WF,0.5,0,20553,11 Oct 2024 10:00,GWIS
1022619,15,14,WF,0.5,0,20605,12 Oct 2024 06:00,GWIS
1022619,15,15,WF,0.5,0,20648,12 Oct 2024 18:00,GWIS
1022620,14,1,WF,0.5,0,5468,08 Oct 2024 06:00,GWIS
1022620,14,2,WF,0.5,0,10590,08 Oct 2024 18:00,GWIS
1022620,14,3,WF,0.5,0,11749,09 Oct 2024 02:00,GWIS
1022620,14,4,WF,0.5,0,12610,09 Oct 2024 06:00,GWIS
